SECTIONS,shipmonth,weight,status,region,TITLED,wgtadj,jstatus,jprice,jsqft,jbedroom,price,sqft,jtitle,jlocation,jfoundation,jsecured,bedrooms,location,foundation,secured,controlid
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,36000,1200,R,R,R,R,3,1,3,1,16090097
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,48000,1200,R,R,R,R,3,1,3,1,16090098
1,201609,14.2545,2,2,1,0.9102554617405921,I,I,I,I,54000,1200,I,I,I,I,3,1,3,1,16090099
1,201609,14.2545,2,2,1,0.9102554617405921,I,I,I,I,54000,1200,I,I,I,I,3,1,3,1,16090100
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,54000,1200,R,R,R,R,3,1,1,9,16090101
1,201609,14.2545,2,2,2,0.9102554617405921,R,I,R,R,54000,1200,R,R,R,R,3,1,3,1,16090102
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,54000,1200,I,I,I,I,3,1,3,1,16090103
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,54000,1200,I,I,I,I,3,1,3,1,16090104
1,201609,12.3,1,2,9,0.9102554617405921,I,I,I,I,55000,1300,9,9,9,9,3,9,9,9,16090105
1,201609,14.2545,1,2,9,0.9102554617405921,R,R,R,R,61800,1300,9,9,9,9,3,9,9,9,16090106
1,201609,14.2545,2,2,1,0.9102554617405921,R,R,R,R,61800,1300,R,R,R,R,3,1,3,1,16090107
2,201609,7.1273,1,2,9,1.0426730181784527,R,R,R,R,60000,1200,9,9,9,9,3,9,9,9,16090108
2,201609,7.1273,1,2,9,1.0426730181784527,R,R,R,R,46200,1200,9,9,9,9,3,9,9,9,16090109
2,201609,7.1273,2,2,1,1.0426730181784527,R,9,I,I,9,1300,I,I,I,I,3,1,3,1,16090110
2,201609,7.1273,1,2,9,1.0426730181784527,R,R,R,R,53000,1300,9,9,9,9,3,9,9,9,16090111
2,201609,7.1273,1,2,9,1.0426730181784527,R,R,R,R,65000,1300,9,9,9,9,3,9,9,9,16090112
2,201609,7.1273,2,2,3,1.0426730181784527,R,R,R,R,65000,1300,R,R,R,R,3,1,3,1,16090113
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,66000,1300,R,R,R,R,3,3,3,1,16090114
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,73000,1300,R,R,R,R,3,1,3,1,16090115
2,201609,7.1273,1,2,9,1.0426730181784527,R,R,R,R,80000,1300,9,9,9,9,3,9,9,9,16090116
2,201609,7.1273,1,2,9,1.0426730181784527,I,I,I,I,85000,1300,9,9,9,9,3,9,9,9,16090117
2,201609,7.1273,2,2,2,1.0426730181784527,I,I,I,I,85000,1300,I,I,I,I,3,1,3,1,16090118
2,201609,7.1273,2,2,2,1.0426730181784527,I,I,I,I,85000,1300,I,I,I,I,3,3,3,1,16090119
2,201609,7.1273,2,2,2,1.0426730181784527,I,I,I,I,87000,1400,I,I,I,I,3,1,3,1,16090120
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,103000,1400,R,R,R,R,3,1,3,1,16090121
2,201609,7.1273,1,2,9,1.0426730181784527,R,R,R,R,60000,1500,9,9,9,9,3,9,9,9,16090122
2,201609,7.1273,1,2,9,1.0426730181784527,R,R,R,R,60000,1500,9,9,9,9,3,9,9,9,16090123
2,201609,7.1273,2,2,1,1.0426730181784527,R,9,R,R,9,1600,R,R,R,R,3,1,3,1,16090124
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,73000,1600,R,R,R,R,3,1,3,1,16090125
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,76000,1600,R,R,R,R,3,1,3,1,16090126
2,201609,7.1273,2,2,1,1.0426730181784527,I,I,I,I,92000,1600,I,I,I,I,3,1,1,9,16090127
2,201609,7.1273,2,2,2,1.0426730181784527,I,I,I,I,92000,1600,I,I,I,I,3,1,3,1,16090128
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,107000,1600,R,R,R,R,3,3,1,9,16090129
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,112000,1600,R,R,R,R,3,3,3,1,16090130
2,201609,7.1273,2,2,3,1.0426730181784527,R,R,R,R,59000,1700,R,R,R,R,3,1,2,1,16090131
2,201609,7.1273,1,2,9,1.0426730181784527,R,R,R,R,75000,1700,9,9,9,9,3,9,9,9,16090132
2,201609,7.1273,1,2,9,1.0426730181784527,I,I,I,I,95000,1700,9,9,9,9,3,9,9,9,16090133
2,201609,7.1273,2,2,2,1.0426730181784527,I,I,I,I,97000,1700,I,I,I,I,3,1,3,1,16090134
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,119000,1700,R,R,R,R,3,1,1,9,16090135
