control,shipmonth,weight,wgtadj,status,region,titled,sections,price,sqft,bedrooms,location,foundation,secured,jstatus,jprice,jsqft,jbedroom,jtitle,jlocation,jfoundation,jsecured
17010176,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010177,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010178,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010179,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010180,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010181,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010182,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010183,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010184,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010185,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010186,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010187,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010188,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010189,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010190,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010191,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010192,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010193,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010194,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010195,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010196,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010197,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010198,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010199,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
